id	DclMut1	DclMut2	JmjMut	SdgMut
79	ASV_149	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
80	ASV_590	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
81	ASV_184	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
82	ASV_31	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
83	ASV_105	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
84	ASV_1013	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
85	ASV_890	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
86	ASV_110	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
87	ASV_860	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
88	ASV_202	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
89	ASV_898	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
90	ASV_2507	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
91	ASV_21	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
92	ASV_1233	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
93	ASV_79	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
94	ASV_3427	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
95	ASV_267	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
96	ASV_645	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
97	ASV_211	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_E
98	ASV_18	DclMut1LsR_NipWtLsR_E	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
99	ASV_488	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
100	ASV_154	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
101	ASV_367	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
102	ASV_152	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
