NipWtLsR01	NipWtLsR02	NipWtLsR03	NipWtLsR04	NipWtLsR05	NipWtLsR06	NipWtLsR07	NipWtLsR08	NipWtLsR09	NipWtLsR10	NipWtLsR11	NipWtLsR12	NipWtLsR13	NipWtLsR14	NipWtLsR15	DjWtLsR01	DjWtLsR02	DjWtLsR03	DjWtLsR04	DjWtLsR05	DjWtLsR06	DjWtLsR07	DjWtLsR08	DjWtLsR09	DjWtLsR10	DjWtLsR11	DjWtLsR12	DjWtLsR13	DjWtLsR14	DjWtLsR15	Zh11WtLsR01	Zh11WtLsR02	Zh11WtLsR03	Zh11WtLsR04	Zh11WtLsR05	Zh11WtLsR06	Zh11WtLsR07	Zh11WtLsR08	Zh11WtLsR09	Zh11WtLsR10	Zh11WtLsR11	Zh11WtLsR12	Zh11WtLsR13	Zh11WtLsR14	Zh11WtLsR15
ASV_243	0	0.00554426	0.00326392	0	0.00356805	0.03054972	0.00414723	0	0.03722348	0.01259695	0.00344051	0.00168731	0.02123518	0.01344741	0.02015384	0.00199732	0.00728584	0.00207052	0.02539246	0	0.00184182	0.00213129	0.02112379	0	0.00201033	0	0.0139623	0.00193517	0.00173133	0	0	0	0	0	0.00470566	0.01655766	0	0.00750596	0	0.00197118	0.0079952	0.11671108	0.00450867	0.00706452	0.00634545
ASV_8	0.00997473	0.03511366	0.02774333	0.00689596	0.0071361	0.02336155	0.02488336	0.03033827	0.01418037	0.01979521	0.09461389	0.03205885	0.01769598	0.00840463	0.03358973	0.01997324	0.02550045	0.02070522	0.09410148	0.0224359	0.07551479	0.01491901	0.00469417	0.00942472	0.01407233	0.01318342	0.01196769	0.01161103	0.02423865	0.00947418	0.02820079	0.01153891	0.01577429	0.01382839	0.04235095	0.04139416	0.01441095	0.03940628	0.01834373	0.01774063	0.05596642	0.01361629	0.04734101	0.02119355	0.05076357
ASV_138	0.00664982	0.00554426	0.02774333	0.01723989	0	0.01257929	0.00622084	0	0.00709019	0.00539869	0.01376202	0.01012385	0.0017696	0.01008556	0.00839743	0.01398127	0.00728584	0.00414104	0.00896205	0.01121795	0.01105094	0.00639386	0.00938835	0.00565483	0.00804133	0.00565004	0.00598384	0.0135462	0.02596998	0.00757935	0.02068058	0	0.00450694	0.03918044	0.01882264	0.02276679	0.01441095	0.01688841	0.00500283	0.00985591	0.13791725	0.0252874	0.00225433	0.00529839	0.00846059
ASV_15	3.20022609	0.87599335	1.44428487	1.74467718	0.51201541	0.70803458	0.80870918	1.28432017	2.48511061	0.5830589	1.16633122	1.04106908	1.62803044	3.82578877	1.04128178	0.91876885	1.45352544	1.11394082	0.19716501	0.27724359	1.2966442	1.03154305	1.42937614	1.25725703	1.15996221	0.47460308	2.07838835	0.64247702	1.12190308	1.75461866	2.14514006	0.36924497	1.58644312	0.52547881	1.37875865	0.36633827	0.36267563	0.37154491	0.26681786	0.81804025	0.85348791	2.15137427	0.6176875	0.74883877	0.8862473
ASV_56	0.0149621	0.00369617	0.0244794	0.00172399	0.00535208	0.00359408	0	0.00168546	0	0.00179956	0.00688101	0.01012385	0.0035392	0.114303	2.24715327	0.00798929	0.04007213	0.00621157	0.02688614	0.00480769	0.01105094	0	0.00234709	0	0.00402067	0.00188335	0.00598384	0	0.00173133	0.00757935	0.02632074	0.00192315	0.01352082	0.00691419	0.10352454	0.00206971	0.00240183	0	0.00166761	0	0	0	0.01578034	0.01589516	0.00211515
ASV_35	1.33495146	0.36592127	2.25700111	0.33962589	0.17305051	0.62716768	0.35458787	0.32866461	0.95717527	0.51647501	0.41458086	0.3762697	0.49725712	1.26405675	0.47697424	0.9227635	0.61201071	0.40789283	0.2091144	0.1875	0.47703245	1.00809889	0.20889077	0.43730679	0.92475323	0.16761776	1.57574549	0.12385099	1.43700549	0.24822359	1.19383343	0.42886265	0.54308635	0.79743714	1.19523787	0.90860171	0.72535127	0.22330225	0.13174132	0.19908931	0.79552269	1.1943434	0.40803445	1.23805655	0.53301747
ASV_1201	0.00166246	0.00184809	0.00326392	0.00172399	0	0.00359408	0	0.00168546	0.00177255	0	0.00172025	0	0.0035392	0.00336185	0	0.00199732	0	0	0.00149367	0	0	0	0	0.00376989	0	0.00188335	0	0	0.00346266	0	0	0.00192315	0	0	0	0.00206971	0	0	0.00166761	0.00197118	0.0019988	0.00194518	0.006763	0	0
ASV_57	0.12800904	0.48604694	0.52385926	0.32583398	0.55483203	0.41331968	0.23639191	0.12135309	0.21802326	0.20874948	0.26663914	0.48763203	0.40700761	0.26222454	0.31574351	0.19374039	0.4007213	0.26088577	0.11202557	0.22916667	0.30205916	0.17476556	0.27930338	0.20734374	0.40407696	0.21281805	0.2054453	0.09482342	0.16620786	0.24443392	0.22560632	0.13654371	0.14196863	0.24660628	0.138817	0.15522808	0.1801369	0.13510724	0.11840043	0.13798269	0.11193284	0.09725923	0.19161839	0.20663711	0.12690892
ASV_12	0.0149621	0.04620218	0.04569489	0.02758383	0.05887285	0.02336155	0.03732504	0.03539465	0.01418037	0.0305926	0.03956581	0.04049539	0.05485755	0.08068447	0.01511538	0.01398127	0.05464381	0.01656418	0.00448102	0.01282051	0.02026007	0.04688832	0.03285922	0.01130966	0.012062	0.03201687	0.01595692	0.00967586	0.00692533	0.02273804	0.03008084	0.02884726	0.00450694	0.01843785	0.02588114	0.01655766	0.04803651	0.03752979	0.00667045	0.01576945	0.0039976	0.00972592	0.00901734	0.01412903	0.02115149
ASV_3241	0	0	0	0	0.00356805	0	0	0	0	0.00179956	0	0	0.02123518	0.00168093	0	0	0	0.00414104	0	0	0	0.00426257	0.00234709	0.00188494	0	0.00188335	0	0.0270924	0	0	0.00188005	0	0	0.00921893	0	0.00413942	0	0.00375298	0.00667045	0	0.0019988	0	0	0.00176613	0.00211515
